_id,Year,FSA,ANIMAL_TYPE,PRIMARY_BREED
553,2023,M6S,CAT,DOMESTIC SH
554,2023,M1K,CAT,DOMESTIC MH
555,2023,M1L,CAT,DOMESTIC SH
556,2024,M9B,DOG,SHIH TZU
557,2023,M1S,DOG,POODLE TOY
558,2024,M1S,CAT,DOMESTIC SH
559,2023,M9W,DOG,SHIH TZU
560,2023,M1E,DOG,CHINESE CRESTED
561,2025,M6G,CAT,DOMESTIC SH
562,2024,M9A,DOG,PEKINGESE
563,2023,M9C,DOG,BICHON FRISE
564,2023,M9N,DOG,CHIHUAHUA SH
565,2025,M9N,CAT,DOMESTIC MH
566,2025,M1P,CAT,HIMALAYAN
567,2024,M1W,DOG,YORKSHIRE TERR
568,2024,M4M,CAT,DOMESTIC SH
569,2024,M1J,CAT,DOMESTIC SH
570,2023,M2M,DOG,POODLE MIN
571,2023,M2H,CAT,DOMESTIC SH
572,2023,M4T,DOG,COTON DE TULEAR
573,2025,M6K,CAT,DOMESTIC LH
574,2023,M1W,DOG,YORKSHIRE TERR
575,2025,M1L,CAT,DOMESTIC SH
576,2023,M9B,DOG,MALTESE
577,2024,M1X,CAT,DOMESTIC SH
578,2023,M2M,DOG,SHIH TZU
579,2023,M9C,DOG,CHIHUAHUA SH
580,2023,M6N,CAT,DOMESTIC SH
581,2023,M1K,DOG,SIBERIAN HUSKY
582,2023,M6E,CAT,DOMESTIC SH
583,2023,M4S,DOG,POODLE TOY
584,2024,M6E,DOG,PEKINGESE
585,2024,M6E,DOG,CAIRN TERRIER
586,2023,M4B,DOG,PAPILLON
587,2023,M9P,DOG,SC WHEAT TERR
588,2025,M6R,CAT,DOMESTIC MH
589,2024,M5N,DOG,BICHON FRISE
590,2023,M6C,CAT,DOMESTIC SH
591,2023,M9L,CAT,DOMESTIC SH
592,2023,M9W,DOG,SHIH TZU
593,2023,M3H,DOG,COCKER SPAN
594,2024,M4K,CAT,DOMESTIC SH
595,2023,M1N,DOG,NS DUCK TOLLING
596,2023,M4G,CAT,DOMESTIC SH
597,2024,M4X,CAT,DOMESTIC LH
598,2023,M1C,CAT,DOMESTIC SH
599,2023,M6P,CAT,DOMESTIC SH
600,2025,M4J,CAT,DOMESTIC SH
601,2023,M5B,DOG,COCKER SPAN
602,2023,M6R,CAT,DOMESTIC LH
603,2024,M2R,DOG,PAPILLON
604,2023,M4E,DOG,CHOW CHOW
605,2023,M6P,CAT,DOMESTIC SH
606,2023,M6J,CAT,DOMESTIC SH
607,2023,M6G,CAT,DOMESTIC SH
608,2023,M6J,DOG,SHIH TZU
609,2024,M4J,CAT,DOMESTIC SH
